Empresa,Ticker,Setor,Subsetor
SANTANENSE PN,CTSA4,"Tecidos, Vestuário e Calçados",Fios e Tecidos
DOHLER PN,DOHL4,"Tecidos, Vestuário e Calçados",Fios e Tecidos
DTCOM ON,DTCY3,Serviços Diversos,Serviços Diversos
ELECTRO AÇO ALTONA S/A PN,EALT4,Máquinas e Equipamentos,Máq. e Equip. Industriais
ELEKTRO ELETRICIDADE E SERVIÇOS S.A. PN,EKTR4,Energia Elétrica,Energia Elétrica
EMAE PN,EMAE4,Energia Elétrica,Energia Elétrica
ENERGISA ON,ENGI3,Energia Elétrica,Energia Elétrica
ENERGISA MT ON,ENMT3,Energia Elétrica,Energia Elétrica
ESTRELA PN,ESTR4,Viagens e Lazer,Brinquedos e Jogos
FERBASA ON,FESA3,Siderurgia e Metalurgia,Siderurgia
HAGA ON,HAGA4,Construção e Engenharia,Produtos para Construção
CIA HABITASUL PNA,HBTS5,Exploração de Imóveis,Exploração de Imóveis
HERCULES S/A PN,HETA4,Utilidades Domésticas,Utensílios Domésticos
HOTEIS OTHON S.A. PN,HOOT4,Hoteis e Restaurantes,Hotelaria
JOSAPAR S/A ON,JOPA3,Alimentos Processados,Alimentos Diversos
JOSAPAR S/A PN,JOPA4,Alimentos Processados,Alimentos Diversos
KLABIN ON N2,KLBN3,Madeira e Papel,Papel e Celulose
MUNDIAL S/A ON,MNDL3,"Tecidos, Vestuário e Calçados",Acessórios
MINUPAR ON,MNPR3,Alimentos Processados,Carnes e Derivados
METISA PN,MTSA4,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
WETZEL S.A. PN,MWET4,Material de Transporte,Material Rodoviário
CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA PN,PEAB4,Holdings Diversificadas,Holdings Diversificadas
PANVEL FARMÁCIAS ON,PNVL3,Comércio e Distribuição,Medicamentos e Outros Produtos
CELULOSE IRANI ON,RANI3,Madeira e Papel,Papel e Celulose
RECRUSUL ON,RCSL3,Material de Transporte,Material Rodoviário
RECRUSUL PN,RCSL4,Material de Transporte,Material Rodoviário
REDE EMPRESAS DE ENERGIA ELÉTRICA S.A. ON,REDE3,Energia Elétrica,Energia Elétrica
ALFA HOLDINGS PNA,RPAD5,Intermediários Financeiros,Bancos
ALFA HOLDINGS PNB,RPAD6,Intermediários Financeiros,Bancos
WLM ON,WLMM3,Comércio,Material de Transporte
EDITORA SARAIVA ON,SLED3,Comércio,Produtos Diversos
SONDOTECNICA S/A. PNA,SOND5,Construção e Engenharia,Engenharia Consultiva
